epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9651,1.79468,3.56023,1.25886,0.00207,0.68056,0.0054,0.00327,1.3164,4.63163,1.14567,0.000653846,0.000653846,0.000653846
2,137.751,1.62191,2.4257,1.22424,0.11627,0.36111,0.07499,0.03922,1.4718,5.13091,1.26844,0.00129437,0.00129437,0.00129437
3,188.81,1.60186,2.06421,1.20746,0.666,0.41667,0.43987,0.27806,1.37728,2.07188,1.20314,0.00190849,0.00190849,0.00190849
4,246.853,1.60754,1.73864,1.22797,0.79783,0.36111,0.37026,0.22878,1.40827,1.7532,1.18435,0.0018812,0.0018812,0.0018812
5,305.745,1.57744,1.47738,1.20146,0.62867,0.375,0.36022,0.20607,1.42466,1.69174,1.19824,0.0018416,0.0018416,0.0018416
6,368.891,1.54986,1.39163,1.20913,0.64196,0.23611,0.26013,0.1619,1.33842,1.59106,1.18141,0.001802,0.001802,0.001802
7,428.218,1.41216,1.23728,1.13943,0.77339,0.52149,0.54419,0.33714,1.31365,1.21501,1.20817,0.0017624,0.0017624,0.0017624
8,480.604,1.44967,1.17751,1.15742,0.8334,0.51389,0.53508,0.34764,1.21396,1.2133,1.09635,0.0017228,0.0017228,0.0017228
9,533.296,1.39462,1.11789,1.14488,0.88699,0.77778,0.84717,0.5451,1.15245,0.97997,1.0952,0.0016832,0.0016832,0.0016832
10,591.185,1.34891,1.07011,1.11867,0.71447,0.34722,0.35662,0.20968,1.27235,1.24111,1.16582,0.0016436,0.0016436,0.0016436
11,645.814,1.36245,1.05057,1.12685,0.71355,0.375,0.37226,0.19089,1.19997,1.08275,1.12053,0.001604,0.001604,0.001604
12,695.279,1.33825,1.00331,1.09572,0.87939,0.7089,0.83822,0.53549,1.22828,1.09347,1.11611,0.0015644,0.0015644,0.0015644
