epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.539,1.94114,3.33575,1.32854,0.48649,0.14441,0.15694,0.06361,1.49082,3.56615,1.12121,0.000470379,0.000470379,0.000470379
2,277.257,1.91028,2.5379,1.31553,0.32359,0.21171,0.19416,0.09604,1.73724,3.6163,1.27062,0.000927968,0.000927968,0.000927968
3,434.68,1.85009,2.23523,1.28997,0.73528,0.16536,0.21052,0.10947,1.65938,2.65284,1.18878,0.00136669,0.00136669,0.00136669
4,613.236,1.87873,2.01803,1.3004,0.42512,0.21905,0.22295,0.1206,1.57324,2.00522,1.2323,0.00134412,0.00134412,0.00134412
5,798.273,1.86497,1.90835,1.313,0.91453,0.10428,0.19253,0.10381,1.67264,3.40166,1.22421,0.00131582,0.00131582,0.00131582
6,998.704,1.78413,1.74802,1.26856,0.66637,0.19208,0.22301,0.13761,1.46551,1.53403,1.11388,0.00128753,0.00128753,0.00128753
7,1228.92,1.74992,1.62513,1.23359,0.47005,0.24542,0.18962,0.1057,1.52486,1.59414,1.19028,0.00125923,0.00125923,0.00125923
8,1431.33,1.76354,1.61945,1.27087,0.45076,0.21281,0.19066,0.11115,1.47656,1.63743,1.12493,0.00123094,0.00123094,0.00123094
9,1641.01,1.7025,1.48635,1.21295,0.57245,0.24816,0.20841,0.12485,1.31642,1.37393,1.08359,0.00120265,0.00120265,0.00120265
10,1863.11,1.69521,1.45781,1.21713,0.64004,0.20719,0.19126,0.11838,1.35058,1.21624,1.08588,0.00117435,0.00117435,0.00117435
11,2088.62,1.66253,1.39546,1.19777,0.73166,0.21513,0.20657,0.1219,1.29726,1.42374,1.06751,0.00114606,0.00114606,0.00114606
12,11197,1.66643,1.39506,1.19627,0.60916,0.23028,0.23362,0.1442,1.30958,1.30213,1.07767,0.00111776,0.00111776,0.00111776
13,11415.7,1.6055,1.34291,1.1752,0.77059,0.22173,0.23209,0.14217,1.29405,1.19633,1.06038,0.00108947,0.00108947,0.00108947
14,12546.2,1.61858,1.3096,1.185,0.57339,0.26702,0.26999,0.14694,1.27908,1.17767,1.05015,0.00106118,0.00106118,0.00106118
15,12892.2,1.60579,1.27066,1.16384,0.67554,0.22845,0.25316,0.14507,1.30315,1.09126,1.06306,0.00103288,0.00103288,0.00103288
16,13249.6,1.57327,1.21404,1.16181,0.68456,0.22899,0.25596,0.15907,1.30829,1.09386,1.07329,0.00100459,0.00100459,0.00100459
17,13686.9,1.56213,1.20809,1.14062,0.5341,0.24469,0.26007,0.15399,1.24588,1.11785,1.04814,0.000976293,0.000976293,0.000976293
18,14403.2,1.53231,1.14332,1.13653,0.6962,0.26611,0.2631,0.16832,1.23325,1.02501,1.02548,0.000947999,0.000947999,0.000947999
