name,year,director,tmdb_id,imdb_id,filename,overview,tagline
3 10 To Yuma,1957,Delmer Daves,14168,tt0050086,3-10-To-Yuma(1957){tmdb-14168}.mp4,"Dan Evans, a small time farmer, is hired to escort Ben Wade, a dangerous outlaw, to Yuma. As Evans and Wade wait for the 3:10 train to Yuma, Wade's gang is racing to free him.",The lonesome whistle of a train... bringing the gallows closer to a desperado... the showdown nearer to his captor!
7 Men From Now,1956,Budd Boetticher,26502,tt0049743,7-Men-From-Now(1956){tmdb-26502}.mp4,A former sheriff relentlessly pursuing the 7 men who murdered his wife in Arizona crosses paths with a couple heading to California.,
A Bullet Is Waiting,1954,John Farrow,44867,tt0046812,A-Bullet-Is-Waiting(1954){tmdb-44867}.mp4,"A plane carrying a sheriff and a man indicted for manslaughter is wrecked on a lonely California beach and the prisoner manages to escape, after a struggle, only to be taken in hand by the female manager of a remote sheep ranch.",...and after the kiss...
A Fistful Of Dollars,1964,Sergio Leone,391,tt0058461,A-Fistful-Of-Dollars(1964){tmdb-391}.mkv,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.","In his own way he is, perhaps, the most dangerous man who ever lived!"
A Million Ways to Die in the West,2014,Seth MacFarlane,188161,tt2557490,A-Million-Ways-to-Die-in-the-West(2014){tmdb-188161}.mp4,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",Bring protection.
An Eastern Westerner,1920,Hal Roach,40575,tt0011144,An-Eastern-Westerner(1920){tmdb-40575}.mp4,"A young man in New York has exasperated his father because of his constant carousing and irresponsibility, so his father sends him to his uncle's ranch in the west. The young man arrives in the town of Piute Pass, which is being terrorized by Tiger Lip Tompkins and his gang, the Masked Angels. The Easterner befriends a young woman whose father is being held captive by Tompkins, and he decides to help her.",A riot of rollicking fun!
Annie Get Your Gun,1950,George Sidney,25209,tt0042200,Annie-Get-Your-Gun(1950){tmdb-25209}.mp4,Gunslinger Annie Oakley romances fellow sharpshooter Frank Butler as they travel with Buffalo Bill's Wild West Show.,Biggest musical under the sun!
Annie Oakley,1935,George Stevens,43887,tt0026073,Annie-Oakley(1935){tmdb-43887}.mp4,Awkward Annie loves her sharpshooting rival in Buffalo Bill's Wild West Show.,"Meet Col. Cody, Sitting Bull, and all the two-gun heroes of the plains, in the big show that astonished two continents ... a livid background for the flaming love of Annie Oakley!"
Appaloosa,2008,Ed Harris,12690,tt0800308,Appaloosa(2008){tmdb-12690}.mp4,Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,Feelings get you killed.
Australia,2008,Baz Luhrmann,6972,tt0455824,Australia(2008){tmdb-6972}.mp4,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin by Japanese forces firsthand.",Welcome to Australia!
Back To The Future Part III,1990,Robert Zemeckis,196,tt0099088,Back-To-The-Future-Part-III(1990){tmdb-196}.mkv,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",They've saved the best trip for last... But this time they may have gone too far.
Bacurau,2019,Juliano Dornelles,446159,tt2762506,Bacurau(2019){tmdb-446159}.mp4,"Bacurau, a small town in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their community has vanished from most maps.","If you come, come in peace"
Bad Day At Black Rock,1955,John Sturges,14554,tt0047849,Bad-Day-At-Black-Rock(1955){tmdb-14554}.mp4,"One-armed war veteran John J. Macreedy steps off a train at the sleepy little town of Black Rock.  Once there, he begins to unravel a web of lies, secrecy, and murder.",Just the way it happened!
Bandolero!,1968,Andrew V. McLaglen,41857,tt0062708,Bandolero!(1968){tmdb-41857}.mp4,"Posing as a hangman, Mace Bishop arrives in town with the intention of freeing a gang of outlaws, including his brother, from the gallows. Mace urges his younger brother to give up crime. The sheriff chases the brothers to Mexico. They join forces, however, against a group of Mexican bandits.","There are ""Westerns"" and ""Westerns"". Every now and then comes a NEW kind of Western. This is ""BANDOLERO!""."
Big Jake,1971,George Sherman,21717,tt0066831,Big-Jake(1971){tmdb-21717}.mp4,An aging Texas cattle man who has outlived his time swings into action when outlaws kidnap his grandson.,They wanted gold. They gave them lead instead!
Blazing Saddles,1974,Mel Brooks,11072,tt0071230,Blazing-Saddles(1974){tmdb-11072}.mp4,"A town—where everyone seems to be named Johnson—stands in the way of the railroad. In order to grab their land, robber baron Hedley Lamarr sends his henchmen to make life in the town unbearable. After the sheriff is killed, the town demands a new sheriff from the Governor, so Hedley convinces him to send the town the first black sheriff in the west.",...or never give a saga an even break!
Blood On The Moon,1948,Robert Wise,29966,tt0040175,Blood-On-The-Moon(1948){tmdb-29966}.mp4,"Down-and-out cowhand Jim Garry is asked by his old friend Tate Riling to help mediate a cattle dispute. When Garry arrives, however, it soon becomes clear that Riling has not been entirely forthright. Garry uncovers Riling's plot to dupe local rancher John Lufton out of a fortune. When Lufton's firecracker of a daughter, Amy, gets involved, Garry must choose between his old loyalties and what he knows to be right.",A woman's bullet kills as quick as a man's!
Boot Hill,1969,Giuseppe Colizzi,12529,tt0064175,Boot-Hill(1969){tmdb-12529}.mp4,Victims of oppressive town boss Honey are offered help by an unusual alliance of gunmen and circus performers,Where Nobody Died of Natural Causes!
Boss Nigger,1975,Jack Arnold,26905,tt0072725,Boss-Nigger(1975){tmdb-26905}.mp4,"Two black bounty hunters ride into a small town out West in pursuit of an outlaw. They discover that the town has no sheriff, and soon take over that position, much against the will of the mostly white townsfolk.",White Man's Town... Black Man's Law!
Breakheart Pass,1975,Tom Gries,8043,tt0072735,Breakheart-Pass(1975){tmdb-8043}.mp4,"At the height of the frontier era, a train races through the Rocky Mountains on a classified mission to a remote army post. But one by one the passengers are being murdered, and their only hope is the mysterious John Deakin, who's being transported to face trial for murder.",Revenge Mystery Danger Ambush
Bring Me The Head Of Alfredo Garcia,1974,Sam Peckinpah,11942,tt0071249,Bring-Me-The-Head-Of-Alfredo-Garcia(1974){tmdb-11942}.mp4,An American bartender and his prostitute girlfriend go on a road trip through the Mexican underworld to collect a $1 million bounty on the head of a dead gigolo.,Why is his head worth one million dollars and the lives of 21 people?
Broken Arrow,1950,Delmer Daves,37292,tt0042286,Broken-Arrow(1950){tmdb-37292}.mkv,"Indian scout Tom Jeffords is sent out to stem the war between the American settlers and Apaches in the late 1870s Arizona. He learns that the Indians kill only to protect themselves, or out of retaliation for white atrocities.",The most powerful weapon is courage...
Broken Lance,1954,Edward Dmytryk,42328,tt0046808,Broken-Lance(1954){tmdb-42328}.mkv,"Cattle baron Matt Devereaux raids a copper smelter that is polluting his water, then divides his property among his sons. Son Joe takes responsibility for the raid and gets three years in prison. Matt dies from a stroke partly caused by his rebellious sons and when Joe gets out he plans revenge.",Fury of the West's Most Lawless Feud!
Buck And The Preacher,1972,Sidney Poitier,26928,tt0068323,Buck-And-The-Preacher(1972){tmdb-26928}.mp4,A wagon master and a con-man preacher help freed slaves dogged by cheap-labor agents out West.,The fight was against the raiders... but the feud was between themselves!
Buffalo Bill And The Indians Or Sitting Bulls History Lesson,1976,Robert Altman,42233,tt0074254,Buffalo-Bill-And-The-Indians-Or-Sitting-Bulls-History-Lesson(1976){tmdb-42233}.mp4,"Buffalo Bill plans to put on his own Wild West sideshow, and Chief Sitting Bull has agreed to appear in it. However, Sitting Bull has his own hidden agenda, involving the President and General Custer.",The greatest buffaloer of them all!
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,642,tt0064115,Butch-Cassidy-and-the-Sundance-Kid(1969){tmdb-642}.mp4,"As the west rapidly becomes civilized, a pair of outlaws in 1890s Wyoming find themselves pursued by a posse and decide to flee to South America in hopes of evading the law.","Not that it matters, but most of it is true."
Canyon Passage,1946,Jacques Tourneur,37309,tt0038395,Canyon-Passage(1946){tmdb-37309}.mp4,"In 1850s Oregon, a businessman is torn between his love of two very different women and his loyalty to a compulsive gambler friend who goes over the line.",Every Exciting Character! Every Dangerous Moment....
Chisum,1970,Andrew V. McLaglen,38765,tt0065547,Chisum(1970){tmdb-38765}.mp4,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County Land War in the New Mexico Territory of 1878.,THE LEGEND - John Wayne is 'Chisum'
Colorado Territory,1949,Raoul Walsh,28484,tt0041253,Colorado-Territory(1949){tmdb-28484}.mp4,"After escaping from jail, outlaw Wes McQueen is convinced by his old partner in crime to do one last heist.","A mighty, memorable new adventure hurtling out of the heroic vastness of Colorado Territory."
Coogan's Bluff,1968,Don Siegel,26170,tt0062824,Coogan's-Bluff(1968){tmdb-26170}.mp4,"Coogan, an Arizona deputy sheriff goes to New York to pick up a prisoner. While escorting the prisoner to the airport, he escapes and Coogan heads into the city to recapture him.",The man with no fear... takes on a killer with no pity... in a city with no heart.
Cowboy Bebop The Movie,2001,Shinichiro Watanabe,11299,tt0275277,Cowboy-Bebop-The-Movie(2001){tmdb-11299}.mp4,"The year is 2071. Following a terrorist bombing, a deadly virus is released on the populace of Mars and the government has issued the largest bounty in history, for the capture of whoever is behind it. The bounty hunter crew of the spaceship Bebop; Spike, Faye, Jet and Ed, take the case with hopes of cashing in the bounty. However, the mystery surrounding the man responsible, Vincent, goes deeper than they ever imagined, and they aren't the only ones hunting him.",They're here to save the planet. But not for free.
Cowboys And Aliens,2011,Jon Favreau,49849,tt0409847,Cowboys-And-Aliens(2011){tmdb-49849}.mkv,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",First Contact. Last Stand.
Days of Heaven,1978,Terrence Malick,16642,tt0077405,Days-of-Heaven(1978){tmdb-16642}.mkv,"In 1916, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer.","She gave her hand to one man, but her heart to another."
Dead Man,1995,Tim Robbins,687,tt0112818,Dead-Man(1995){tmdb-687}.mp4,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,
