Start,End,Caption
00:00:00.080,00:00:40.494,
00:00:40.654,00:00:50.637,
00:00:50.797,00:01:15.996,
00:01:16.156,00:01:20.300,
00:01:20.460,00:01:29.142,
00:01:29.302,00:02:19.793,
00:02:19.953,00:02:26.867,
00:02:27.027,00:02:37.010,
00:02:37.170,00:02:40.180,
00:02:40.340,00:02:44.818,
00:02:44.978,00:02:50.958,
00:02:51.118,00:02:52.759,
00:02:52.919,00:02:54.094,
00:02:54.254,00:02:57.597,
00:02:57.757,00:03:00.200,
00:03:00.360,00:03:02.102,
00:03:02.262,00:03:04.204,
00:03:04.364,00:03:06.306,
00:03:06.466,00:03:08.875,
00:03:09.035,00:03:09.776,
00:03:09.936,00:03:12.713,
00:03:12.873,00:03:13.847,
00:03:14.007,00:03:17.384,
00:03:17.544,00:03:21.121,
00:03:21.281,00:03:22.823,
00:03:22.983,00:03:24.591,
00:03:24.751,00:03:41.908,
00:03:42.068,00:03:43.176,
00:03:43.336,00:03:46.179,
00:03:46.339,00:03:53.220,
00:03:53.380,00:03:53.820,
00:03:53.980,00:03:56.289,
00:03:56.449,00:04:41.101,
00:04:41.261,00:04:43.537,
00:04:43.697,00:04:44.538,
00:04:44.698,00:04:48.041,
00:04:48.201,00:04:51.611,
00:04:51.771,00:04:59.252,
00:04:59.412,00:05:00.654,
00:05:00.814,00:05:04.124,
00:05:04.284,00:05:12.999,
00:05:13.159,00:05:55.976,
00:05:56.136,00:05:59.478,
00:05:59.638,00:06:05.986,
00:06:06.146,00:06:07.687,
00:06:07.847,00:06:10.290,
00:06:10.450,00:06:13.660,
00:06:13.820,00:06:19.132,
00:06:19.292,00:06:20.100,
00:06:20.260,00:06:21.301,
00:06:21.461,00:06:25.672,
00:06:25.832,00:06:26.840,
00:06:27.000,00:06:28.742,
00:06:28.902,00:06:34.681,
00:06:34.841,00:06:40.353,
00:06:40.513,00:06:42.989,
00:06:43.149,00:06:54.201,
00:06:54.361,00:06:59.539,
00:06:59.699,00:07:01.441,
00:07:01.601,00:07:10.083,
00:07:10.243,00:07:13.320,
00:07:13.480,00:07:16.089,
00:07:16.249,00:07:19.626,
00:07:19.786,00:07:46.686,
00:07:46.846,00:07:51.024,
00:07:51.184,00:07:53.460,
00:07:53.620,00:07:59.266,
00:07:59.426,00:08:04.671,
00:08:04.831,00:08:08.174,
00:08:08.334,00:08:10.543,
00:08:10.703,00:08:18.918,
00:08:19.078,00:08:20.320,
00:08:20.480,00:08:21.488,
00:08:21.648,00:08:25.325,
00:08:25.485,00:08:28.161,
00:08:28.321,00:09:06.166,
00:09:06.326,00:09:08.068,
00:09:08.228,00:09:15.075,
00:09:15.235,00:09:15.909,
00:09:16.069,00:09:28.154,
00:09:28.314,00:09:55.248,
00:09:55.408,00:09:57.517,
00:09:57.677,00:10:16.269,
00:10:16.429,00:10:25.478,
00:10:25.638,00:10:27.180,
00:10:27.340,00:10:28.648,
00:10:28.808,00:10:39.592,
00:10:39.752,00:10:52.005,
00:10:52.165,00:11:34.447,
00:11:34.607,00:11:36.549,
00:11:36.709,00:11:40.386,
00:11:40.546,00:11:42.889,
00:11:43.049,00:11:49.329,
00:11:49.489,00:11:54.200,
00:11:54.360,00:11:56.002,
00:11:56.162,00:11:59.739,
00:11:59.899,00:12:02.842,
00:12:03.002,00:12:05.512,
00:12:05.672,00:12:08.548,
00:12:08.708,00:12:11.618,
00:12:11.778,00:12:15.021,
00:12:15.181,00:12:17.223,
00:12:17.383,00:12:33.706,
00:12:33.866,00:13:19.819,
00:13:19.979,00:13:22.722,
00:13:22.882,00:13:23.556,
00:13:23.716,00:13:28.528,
00:13:28.688,00:13:36.669,
00:13:36.829,00:13:38.922,
