Ignore,Scene,Start,End,Caption
Yes,0,00:00:00.205,00:00:00.713,
Yes,0,00:00:01.123,00:00:16.687,
Yes,0,00:00:17.097,00:00:18.689,
Yes,0,00:00:19.099,00:00:19.273,
Yes,0,00:00:19.683,00:02:13.512,
Yes,0,00:02:13.922,00:02:41.999,
No,0,00:02:42.409,00:02:49.298,
No,0,00:02:49.708,00:02:57.097,
No,0,00:02:57.507,00:03:00.100,
No,0,00:03:00.510,00:03:06.899,
No,0,00:03:07.309,00:03:09.276,
No,0,00:03:09.686,00:03:13.697,
No,0,00:03:14.107,00:03:27.920,
No,0,00:03:28.330,00:03:33.258,
No,0,00:03:33.668,00:03:38.972,
No,0,00:03:39.382,00:03:43.435,
No,0,00:03:43.845,00:03:46.772,
No,0,00:03:47.182,00:03:49.608,
No,0,00:03:50.018,00:04:02.412,
No,0,00:04:02.822,00:04:08.085,
No,0,00:04:08.495,00:04:11.171,
No,0,00:04:11.581,00:04:13.173,
No,0,00:04:13.583,00:04:17.593,
No,0,00:04:18.003,00:04:22.432,
No,0,00:04:22.842,00:04:28.021,
No,0,00:04:28.431,00:04:38.949,
No,0,00:04:39.359,00:04:41.994,
No,0,00:04:42.404,00:04:50.585,
No,0,00:04:50.995,00:04:58.927,
No,0,00:04:59.337,00:05:01.430,
No,0,00:05:01.840,00:05:05.309,
No,0,00:05:05.719,00:05:07.477,
No,0,00:05:07.887,00:05:09.980,
No,0,00:05:10.390,00:05:11.189,
No,0,00:05:11.599,00:05:20.615,
No,0,00:05:21.025,00:05:39.009,
No,0,00:05:39.419,00:05:49.436,
No,0,00:05:49.846,00:05:53.190,
No,0,00:05:53.600,00:05:55.859,
No,0,00:05:56.269,00:05:57.736,
No,0,00:05:58.146,00:06:07.704,
No,0,00:06:08.114,00:06:12.751,
No,0,00:06:13.161,00:06:17.839,
No,0,00:06:18.249,00:06:22.010,
No,0,00:06:22.420,00:06:24.638,
No,0,00:06:25.048,00:06:27.933,
No,0,00:06:28.343,00:06:34.022,
No,0,00:06:34.432,00:06:36.274,
No,0,00:06:36.684,00:06:37.984,
No,0,00:06:38.394,00:06:39.528,
No,0,00:06:39.938,00:06:41.905,
No,0,00:06:42.315,00:06:49.663,
No,0,00:06:50.073,00:06:53.625,
No,0,00:06:54.035,00:06:55.794,
No,0,00:06:56.204,00:06:58.213,
No,0,00:06:58.623,00:06:59.840,
No,0,00:07:00.250,00:07:02.008,
No,0,00:07:02.418,00:07:04.511,
No,0,00:07:04.921,00:07:10.600,
No,0,00:07:11.010,00:07:13.728,
No,0,00:07:14.138,00:07:15.689,
No,0,00:07:16.099,00:07:18.942,
No,0,00:07:19.352,00:07:41.798,
No,0,00:07:42.208,00:07:49.014,
No,0,00:07:49.424,00:07:52.559,
No,0,00:07:52.969,00:07:57.898,
No,0,00:07:58.308,00:08:01.902,
No,0,00:08:02.312,00:08:05.363,
No,0,00:08:05.773,00:08:11.036,
No,0,00:08:11.446,00:08:18.251,
No,0,00:08:18.661,00:08:22.172,
No,0,00:08:22.582,00:08:25.175,
No,0,00:08:25.585,00:08:27.427,
No,0,00:08:27.837,00:08:29.679,
No,0,00:08:30.089,00:08:32.349,
No,0,00:08:32.759,00:08:33.974,
No,0,00:08:34.384,00:08:44.069,
No,0,00:08:44.479,00:08:50.200,
No,0,00:08:50.610,00:08:59.417,
No,0,00:08:59.827,00:09:01.253,
No,0,00:09:01.663,00:09:06.174,
No,0,00:09:06.584,00:09:13.265,
No,0,00:09:13.675,00:09:17.978,
No,0,00:09:18.388,00:09:23.191,
No,0,00:09:23.601,00:09:27.612,
No,0,00:09:28.022,00:09:31.700,
No,0,00:09:32.110,00:09:37.706,
No,0,00:09:38.116,00:09:40.166,
No,0,00:09:40.576,00:09:45.005,
No,0,00:09:45.415,00:10:10.030,
No,0,00:10:10.440,00:10:24.961,
No,0,00:10:25.371,00:10:30.425,
No,0,00:10:30.835,00:10:31.885,
No,0,00:10:32.295,00:10:42.062,
No,0,00:10:42.472,00:10:44.898,
No,0,00:10:45.308,00:10:54.532,
No,0,00:10:54.942,00:10:56.242,
No,0,00:10:56.652,00:11:00.163,
No,0,00:11:00.573,00:11:03.333,
No,0,00:11:03.743,00:11:09.839,
No,0,00:11:10.249,00:11:12.592,
No,0,00:11:13.002,00:11:22.560,
No,0,00:11:22.970,00:11:36.408,
No,0,00:11:36.818,00:11:50.046,
No,0,00:11:50.456,00:12:05.437,
No,0,00:12:05.847,00:12:12.652,
No,0,00:12:13.062,00:12:14.279,
No,0,00:12:14.689,00:12:16.072,
No,0,00:12:16.482,00:12:18.241,
No,0,00:12:18.651,00:12:27.667,
No,0,00:12:28.077,00:12:35.216,
No,0,00:12:35.626,00:12:41.681,
No,0,00:12:42.091,00:12:46.311,
No,0,00:12:46.721,00:12:55.904,
No,0,00:12:56.314,00:13:02.619,
No,0,00:13:03.029,00:13:12.212,
No,0,00:13:12.622,00:13:19.886,
No,0,00:13:20.296,00:13:22.764,
No,0,00:13:23.174,00:13:49.040,
No,0,00:13:49.450,00:13:52.335,
No,0,00:13:52.745,00:13:58.508,
No,0,00:13:58.918,00:14:13.106,
No,0,00:14:13.516,00:15:04.282,
No,0,00:15:04.692,00:15:09.245,
No,0,00:15:09.655,00:15:11.831,
No,0,00:15:12.241,00:15:16.044,
No,0,00:15:16.454,00:15:26.095,
No,0,00:15:26.505,00:15:29.265,
No,0,00:15:29.675,00:15:33.019,
No,0,00:15:33.429,00:15:48.242,
No,0,00:15:48.652,00:15:51.746,
No,0,00:15:52.156,00:15:53.373,
No,0,00:15:53.783,00:15:56.250,
No,0,00:15:56.660,00:15:58.169,
No,0,00:15:58.579,00:16:03.299,
No,0,00:16:03.709,00:16:07.553,
No,0,00:16:07.963,00:16:10.306,
No,0,00:16:10.716,00:16:12.976,
No,0,00:16:13.386,00:16:16.104,
No,0,00:16:16.514,00:16:18.606,
No,0,00:16:19.016,00:16:21.234,
No,0,00:16:21.644,00:16:23.069,
No,0,00:16:23.479,00:16:26.656,
No,0,00:16:27.066,00:16:28.741,
No,0,00:16:29.151,00:16:31.995,
No,0,00:16:32.405,00:16:33.788,
No,0,00:16:34.198,00:16:39.544,
No,0,00:16:39.954,00:16:43.548,
No,0,00:16:43.958,00:16:46.009,
No,0,00:16:46.419,00:16:50.930,
No,0,00:16:51.340,00:16:55.977,
No,0,00:16:56.387,00:16:58.521,
No,0,00:16:58.931,00:17:01.607,
No,0,00:17:02.017,00:17:03.443,
No,0,00:17:03.853,00:17:08.197,
No,0,00:17:08.607,00:17:11.200,
No,0,00:17:11.610,00:17:12.951,
No,0,00:17:13.361,00:17:16.122,
No,0,00:17:16.532,00:17:18.541,
No,0,00:17:18.951,00:17:21.085,
No,0,00:17:21.495,00:17:25.922,
No,0,00:17:26.332,00:17:31.179,
No,0,00:17:31.589,00:17:38.061,
No,0,00:17:38.471,00:17:39.103,
No,0,00:17:39.513,00:17:40.521,
No,0,00:17:40.931,00:17:44.192,
No,0,00:17:44.602,00:17:48.237,
No,0,00:17:48.647,00:17:54.160,
No,0,00:17:54.570,00:18:55.638,
No,0,00:18:56.048,00:19:16.325,
No,0,00:19:16.735,00:19:18.494,
No,0,00:19:18.904,00:19:37.221,
No,0,00:19:37.631,00:19:58.117,
No,0,00:19:58.527,00:20:09.837,
No,0,00:20:10.247,00:20:13.966,
No,0,00:20:14.376,00:20:15.009,
No,0,00:20:15.419,00:20:18.804,
No,0,00:20:19.214,00:20:20.306,
No,0,00:20:20.716,00:20:24.644,
No,0,00:20:25.054,00:20:26.437,
No,0,00:20:26.847,00:20:31.442,
No,0,00:20:31.852,00:20:32.735,
No,0,00:20:33.145,00:20:35.571,
No,0,00:20:35.981,00:20:38.282,
No,0,00:20:38.692,00:20:45.289,
No,0,00:20:45.699,00:20:47.667,
No,0,00:20:48.077,00:20:50.836,
No,0,00:20:51.246,00:20:53.172,
No,0,00:20:53.582,00:21:03.849,
No,0,00:21:04.259,00:21:08.771,
No,0,00:21:09.181,00:21:14.986,
No,0,00:21:15.396,00:21:19.573,
No,0,00:21:19.983,00:21:33.671,
No,0,00:21:34.081,00:22:16.922,
No,0,00:22:17.332,00:22:37.526,
No,0,00:22:37.936,00:22:40.029,
No,0,00:22:40.439,00:22:42.656,
No,0,00:22:43.066,00:22:47.161,
No,0,00:22:47.571,00:22:48.871,
No,0,00:22:49.281,00:22:52.500,
No,0,00:22:52.910,00:23:01.884,
No,0,00:23:02.294,00:23:05.012,
No,0,00:23:05.422,00:23:08.641,
No,0,00:23:09.051,00:23:13.938,
No,0,00:23:14.348,00:23:16.232,
No,0,00:23:16.642,00:23:21.278,
No,0,00:23:21.688,00:23:31.038,
No,0,00:23:31.448,00:23:32.581,
No,0,00:23:32.991,00:23:34.500,
No,0,00:23:34.910,00:23:51.892,
No,0,00:23:52.302,00:23:52.977,
No,0,00:23:53.387,00:23:59.692,
No,0,00:24:00.102,00:24:19.920,
No,0,00:24:20.330,00:24:27.553,
No,0,00:24:27.963,00:24:32.808,
No,0,00:24:33.218,00:24:34.602,
No,0,00:24:35.012,00:24:46.864,
No,0,00:24:47.274,00:24:48.532,
No,0,00:24:48.942,00:24:50.409,
No,0,00:24:50.819,00:24:57.750,
No,0,00:24:58.160,00:25:02.129,
No,0,00:25:02.539,00:25:05.007,
No,0,00:25:05.417,00:25:08.844,
No,0,00:25:09.254,00:25:26.529,
No,0,00:25:26.939,00:25:30.491,
No,0,00:25:30.901,00:25:36.205,
No,0,00:25:36.615,00:25:43.504,
No,0,00:25:43.914,00:25:48.342,
No,0,00:25:48.752,00:25:51.595,
No,0,00:25:52.005,00:25:54.557,
No,0,00:25:54.967,00:25:56.559,
No,0,00:25:56.969,00:26:01.146,
No,0,00:26:01.556,00:26:03.649,
No,0,00:26:04.059,00:26:05.317,
No,0,00:26:05.727,00:26:08.862,
No,0,00:26:09.272,00:26:43.063,
No,0,00:26:43.473,00:26:45.316,
No,0,00:26:45.726,00:26:50.946,
No,0,00:26:51.356,00:26:57.244,
No,0,00:26:57.654,00:27:02.041,
No,0,00:27:02.451,00:27:06.295,
No,0,00:27:06.705,00:27:22.770,
No,0,00:27:23.180,00:27:26.440,
No,0,00:27:26.850,00:27:37.451,
No,0,00:27:37.861,00:27:39.536,
No,0,00:27:39.946,00:27:42.998,
No,0,00:27:43.408,00:27:44.958,
No,0,00:27:45.368,00:27:51.840,
No,0,00:27:52.250,00:29:38.155,
No,0,00:29:38.565,00:30:25.452,
No,0,00:30:25.862,00:30:26.245,
No,0,00:30:26.655,00:30:28.914,
No,0,00:30:29.324,00:30:32.292,
No,0,00:30:32.702,00:30:34.253,
No,0,00:30:34.663,00:30:38.465,
No,0,00:30:38.875,00:30:40.717,
No,0,00:30:41.127,00:30:53.772,
No,0,00:30:54.182,00:31:02.030,
No,0,00:31:02.440,00:31:06.118,
No,0,00:31:06.528,00:31:08.412,
No,0,00:31:08.822,00:31:10.414,
No,0,00:31:10.824,00:31:13.500,
No,0,00:31:13.910,00:31:15.586,
No,0,00:31:15.996,00:31:21.592,
No,0,00:31:22.002,00:31:25.345,
No,0,00:31:25.755,00:31:28.724,
No,0,00:31:29.134,00:31:33.061,
No,0,00:31:33.471,00:31:39.067,
No,0,00:31:39.477,00:32:35.248,
No,0,00:32:35.658,00:32:46.927,
No,0,00:32:47.337,00:32:56.520,
No,0,00:32:56.930,00:32:59.815,
No,0,00:33:00.225,00:33:20.127,
No,0,00:33:20.537,00:33:23.213,
No,0,00:33:23.623,00:33:37.227,
No,0,00:33:37.637,00:33:41.356,
No,0,00:33:41.766,00:33:45.402,
No,0,00:33:45.812,00:33:46.862,
No,0,00:33:47.272,00:33:50.240,
No,0,00:33:50.650,00:33:54.619,
No,0,00:33:55.029,00:34:01.001,
No,0,00:34:01.411,00:34:02.627,
No,0,00:34:03.037,00:34:08.050,
No,0,00:34:08.460,00:34:13.512,
No,0,00:34:13.922,00:34:17.309,
No,0,00:34:17.719,00:34:18.559,
No,0,00:34:18.969,00:34:20.896,
No,0,00:34:21.306,00:34:21.855,
No,0,00:34:22.265,00:34:25.233,
No,0,00:34:25.643,00:34:26.610,
No,0,00:34:27.020,00:34:28.235,
No,0,00:34:28.645,00:34:30.655,
No,0,00:34:31.065,00:34:40.165,
No,0,00:34:40.575,00:34:41.791,
No,0,00:34:42.201,00:34:43.960,
No,0,00:34:44.370,00:34:46.421,
No,0,00:34:46.831,00:34:48.048,
No,0,00:34:48.458,00:34:49.758,
No,0,00:34:50.168,00:34:51.675,
No,0,00:34:52.085,00:34:54.054,
No,0,00:34:54.464,00:34:56.348,
No,0,00:34:56.758,00:34:58.558,
No,0,00:34:58.968,00:35:08.693,
No,0,00:35:09.103,00:35:23.917,
No,0,00:35:24.327,00:35:30.715,
No,0,00:35:31.125,00:35:36.680,
No,0,00:35:37.090,00:35:51.403,
No,0,00:35:51.813,00:36:02.539,
No,0,00:36:02.949,00:36:37.282,
No,0,00:36:37.692,00:36:57.719,
No,0,00:36:58.129,00:37:04.184,
No,0,00:37:04.594,00:37:17.948,
No,0,00:37:18.358,00:37:21.034,
No,0,00:37:21.444,00:37:25.580,
No,0,00:37:25.990,00:37:27.415,
No,0,00:37:27.825,00:37:33.630,
No,0,00:37:34.040,00:37:36.716,
No,0,00:37:37.126,00:37:39.970,
No,0,00:37:40.380,00:37:41.638,
No,0,00:37:42.048,00:37:45.725,
No,0,00:37:46.135,00:38:39.863,
No,0,00:38:40.273,00:39:06.139,
