Ignore,Scene,Start,End,Caption
No,0,00:00:00.205,00:00:01.463,
No,0,00:00:01.873,00:00:11.473,
No,0,00:00:11.883,00:01:32.846,
No,0,00:01:33.256,00:01:47.694,
No,0,00:01:48.104,00:02:03.877,
No,0,00:02:04.287,00:03:35.010,
No,0,00:03:35.420,00:04:35.696,
No,0,00:04:36.106,00:04:59.219,
No,0,00:04:59.629,00:05:19.656,
No,0,00:05:20.066,00:05:32.419,
No,0,00:05:32.829,00:05:36.965,
No,0,00:05:37.375,00:05:41.386,
No,0,00:05:41.796,00:05:44.306,
No,0,00:05:44.716,00:05:56.151,
No,0,00:05:56.561,00:06:00.781,
No,0,00:06:01.191,00:06:06.912,
No,0,00:06:07.322,00:06:21.468,
No,0,00:06:21.878,00:06:24.137,
No,0,00:06:24.547,00:06:29.101,
No,0,00:06:29.511,00:06:32.603,
No,0,00:06:33.013,00:06:35.065,
No,0,00:06:35.475,00:06:39.361,
No,0,00:06:39.771,00:06:44.074,
No,0,00:06:44.484,00:06:47.160,
No,0,00:06:47.570,00:07:12.686,
No,0,00:07:13.096,00:07:14.896,
No,0,00:07:15.306,00:07:16.398,
No,0,00:07:16.808,00:07:17.232,
No,0,00:07:17.642,00:07:18.483,
No,0,00:07:18.893,00:07:19.901,
No,0,00:07:20.311,00:07:21.653,
No,0,00:07:22.063,00:07:27.242,
No,0,00:07:27.652,00:07:30.287,
No,0,00:07:30.697,00:07:41.840,
No,0,00:07:42.250,00:07:47.429,
No,0,00:07:47.839,00:07:50.348,
No,0,00:07:50.758,00:07:53.268,
No,0,00:07:53.678,00:07:56.438,
No,0,00:07:56.848,00:08:01.693,
No,0,00:08:02.103,00:08:04.029,
No,0,00:08:04.439,00:08:06.114,
No,0,00:08:06.524,00:08:12.579,
No,0,00:08:12.989,00:08:18.126,
No,0,00:08:18.536,00:08:23.882,
No,0,00:08:24.292,00:08:28.845,
No,0,00:08:29.255,00:08:33.183,
No,0,00:08:33.593,00:08:34.559,
No,0,00:08:34.969,00:08:38.897,
No,0,00:08:39.307,00:08:43.151,
No,0,00:08:43.561,00:08:46.321,
No,0,00:08:46.731,00:08:48.490,
No,0,00:08:48.900,00:08:51.910,
No,0,00:08:52.320,00:08:57.999,
No,0,00:08:58.409,00:09:00.627,
No,0,00:09:01.037,00:09:05.131,
No,0,00:09:05.541,00:09:40.333,
No,0,00:09:40.743,00:09:52.345,
No,0,00:09:52.755,00:10:04.816,
No,0,00:10:05.226,00:10:12.866,
No,0,00:10:13.276,00:10:17.537,
No,0,00:10:17.947,00:10:21.416,
No,0,00:10:21.826,00:10:24.294,
No,0,00:10:24.704,00:10:27.589,
No,0,00:10:27.999,00:10:34.262,
No,0,00:10:34.672,00:10:38.892,
No,0,00:10:39.302,00:10:41.561,
No,0,00:10:41.971,00:10:45.106,
No,0,00:10:45.516,00:10:47.525,
No,0,00:10:47.935,00:10:55.867,
No,0,00:10:56.277,00:10:59.871,
No,0,00:11:00.281,00:11:02.457,
No,0,00:11:02.867,00:11:39.119,
No,0,00:11:39.529,00:11:44.499,
No,0,00:11:44.909,00:11:47.502,
No,0,00:11:47.912,00:11:50.296,
No,0,00:11:50.706,00:11:54.050,
No,0,00:11:54.460,00:11:56.052,
No,0,00:11:56.462,00:11:59.973,
No,0,00:12:00.383,00:12:02.809,
No,0,00:12:03.219,00:12:06.771,
No,0,00:12:07.181,00:12:10.400,
No,0,00:12:10.810,00:12:13.570,
No,0,00:12:13.980,00:12:17.115,
No,0,00:12:17.525,00:12:19.659,
No,0,00:12:20.069,00:12:25.915,
No,0,00:12:26.325,00:12:59.866,
No,0,00:13:00.276,00:13:06.164,
No,0,00:13:06.574,00:13:13.129,
No,0,00:13:13.539,00:13:17.342,
No,0,00:13:17.752,00:13:28.895,
No,0,00:13:29.305,00:13:33.233,
No,0,00:13:33.643,00:13:37.529,
No,0,00:13:37.939,00:13:46.913,
No,0,00:13:47.323,00:13:49.624,
No,0,00:13:50.034,00:14:03.054,
No,0,00:14:03.464,00:14:11.479,
No,0,00:14:11.889,00:14:26.953,
No,0,00:14:27.363,00:14:30.623,
No,0,00:14:31.033,00:14:33.793,
No,0,00:14:34.203,00:14:37.297,
No,0,00:14:37.707,00:14:39.424,
No,0,00:14:39.834,00:14:44.929,
No,0,00:14:45.339,00:14:47.223,
No,0,00:14:47.633,00:14:55.106,
No,0,00:14:55.516,00:15:01.404,
No,0,00:15:01.814,00:15:04.032,
No,0,00:15:04.442,00:15:07.911,
No,0,00:15:08.321,00:15:10.079,
No,0,00:15:10.489,00:15:14.751,
No,0,00:15:15.161,00:15:26.971,
No,0,00:15:27.381,00:15:42.862,
No,0,00:15:43.272,00:15:57.669,
No,0,00:15:58.079,00:16:01.881,
No,0,00:16:02.291,00:16:07.595,
No,0,00:16:08.005,00:16:24.696,
No,0,00:16:25.106,00:16:28.908,
No,0,00:16:29.318,00:16:32.620,
No,0,00:16:33.030,00:16:36.040,
No,0,00:16:36.450,00:16:39.085,
No,0,00:16:39.495,00:16:43.715,
No,0,00:16:44.125,00:16:47.343,
No,0,00:16:47.753,00:16:50.096,
No,0,00:16:50.506,00:16:55.476,
No,0,00:16:55.886,00:17:17.123,
No,0,00:17:17.533,00:17:58.247,
No,0,00:17:58.657,00:18:01.125,
No,0,00:18:01.535,00:18:03.920,
No,0,00:18:04.330,00:18:45.169,
No,0,00:18:45.579,00:19:31.716,
No,0,00:19:32.126,00:19:44.437,
No,0,00:19:44.847,00:20:26.103,
No,0,00:20:26.513,00:20:34.612,
No,0,00:20:35.022,00:20:38.741,
No,0,00:20:39.151,00:21:00.054,
No,0,00:21:00.464,00:21:02.056,
No,0,00:21:02.466,00:21:05.434,
No,0,00:21:05.844,00:21:09.188,
No,0,00:21:09.598,00:21:12.525,
No,0,00:21:12.935,00:21:28.541,
No,0,00:21:28.951,00:21:32.253,
No,0,00:21:32.663,00:21:40.052,
No,0,00:21:40.462,00:21:43.931,
No,0,00:21:44.341,00:21:50.313,
No,0,00:21:50.723,00:21:57.445,
No,0,00:21:57.855,00:22:02.575,
No,0,00:22:02.985,00:22:14.879,
No,0,00:22:15.289,00:22:22.219,
No,0,00:22:22.629,00:22:25.723,
No,0,00:22:26.133,00:22:29.393,
No,0,00:22:29.803,00:22:43.699,
No,0,00:22:44.109,00:22:57.380,
No,0,00:22:57.790,00:23:29.912,
No,0,00:23:30.322,00:24:13.914,
No,0,00:24:14.324,00:24:21.589,
No,0,00:24:21.999,00:24:27.219,
No,0,00:24:27.629,00:24:34.602,
No,0,00:24:35.012,00:24:41.692,
No,0,00:24:42.102,00:24:44.904,
No,0,00:24:45.314,00:24:50.784,
No,0,00:24:51.194,00:24:57.583,
No,0,00:24:57.993,00:25:01.170,
No,0,00:25:01.580,00:25:04.465,
No,0,00:25:04.875,00:25:19.897,
No,0,00:25:20.307,00:25:24.360,
No,0,00:25:24.770,00:25:34.578,
No,0,00:25:34.988,00:25:45.214,
No,0,00:25:45.624,00:26:02.356,
No,0,00:26:02.766,00:26:04.942,
No,0,00:26:05.352,00:26:10.155,
No,0,00:26:10.565,00:26:12.866,
No,0,00:26:13.276,00:26:17.830,
No,0,00:26:18.240,00:26:20.457,
No,0,00:26:20.867,00:26:26.839,
No,0,00:26:27.249,00:26:32.928,
No,0,00:26:33.338,00:26:36.140,
No,0,00:26:36.550,00:26:45.149,
No,0,00:26:45.559,00:26:50.696,
No,0,00:26:51.106,00:27:04.543,
No,0,00:27:04.953,00:27:29.610,
No,0,00:27:30.020,00:27:32.363,
No,0,00:27:32.773,00:27:34.156,
No,0,00:27:34.566,00:28:05.604,
No,0,00:28:06.014,00:28:15.239,
No,0,00:28:15.649,00:28:19.952,
No,0,00:28:20.362,00:28:23.664,
No,0,00:28:24.074,00:28:26.208,
No,0,00:28:26.618,00:28:30.337,
No,0,00:28:30.747,00:28:32.506,
No,0,00:28:32.916,00:29:09.001,
No,0,00:29:09.411,00:29:12.629,
No,0,00:29:13.039,00:29:29.062,
No,0,00:29:29.472,00:29:34.526,
No,0,00:29:34.936,00:29:37.029,
No,0,00:29:37.439,00:29:39.698,
No,0,00:29:40.108,00:29:44.119,
No,0,00:29:44.529,00:29:48.582,
No,0,00:29:48.992,00:30:20.572,
No,0,00:30:20.982,00:30:24.493,
No,0,00:30:24.903,00:30:31.041,
No,0,00:30:31.451,00:30:34.378,
No,0,00:30:34.788,00:31:04.867,
No,0,00:31:05.277,00:31:08.203,
No,0,00:31:08.613,00:31:13.458,
No,0,00:31:13.868,00:31:15.836,
No,0,00:31:16.246,00:31:18.839,
No,0,00:31:19.249,00:31:24.845,
No,0,00:31:25.255,00:31:38.191,
No,0,00:31:38.601,00:31:40.152,
No,0,00:31:40.562,00:31:42.529,
No,0,00:31:42.939,00:31:46.742,
No,0,00:31:47.152,00:31:50.662,
No,0,00:31:51.072,00:31:52.539,
No,0,00:31:52.949,00:31:56.793,
No,0,00:31:57.203,00:31:58.587,
No,0,00:31:58.997,00:32:26.239,
No,0,00:32:26.649,00:32:28.408,
No,0,00:32:28.818,00:32:31.703,
No,0,00:32:32.113,00:33:02.985,
No,0,00:33:03.395,00:33:33.265,
No,0,00:33:33.675,00:33:38.395,
No,0,00:33:38.805,00:33:42.232,
No,0,00:33:42.642,00:33:50.782,
No,0,00:33:51.192,00:33:56.288,
No,0,00:33:56.698,00:34:03.420,
No,0,00:34:03.830,00:34:07.549,
No,0,00:34:07.959,00:34:11.011,
No,0,00:34:11.421,00:34:18.393,
No,0,00:34:18.803,00:34:27.944,
No,0,00:34:28.354,00:34:38.454,
No,0,00:34:38.864,00:34:41.500,
No,0,00:34:41.910,00:34:43.460,
No,0,00:34:43.870,00:34:49.549,
No,0,00:34:49.959,00:34:52.385,
No,0,00:34:52.795,00:35:27.671,
No,0,00:35:28.081,00:35:30.799,
No,0,00:35:31.209,00:36:22.225,
No,0,00:36:22.635,00:36:30.233,
No,0,00:36:30.643,00:36:38.033,
No,0,00:36:38.443,00:36:46.958,
No,0,00:36:47.368,00:36:50.253,
No,0,00:36:50.663,00:36:55.425,
No,0,00:36:55.835,00:37:11.358,
No,0,00:37:11.768,00:37:15.111,
No,0,00:37:15.521,00:37:29.542,
No,0,00:37:29.952,00:37:32.963,
No,0,00:37:33.373,00:38:33.982,
No,0,00:38:34.392,00:38:57.088,
No,0,00:38:57.498,00:39:04.179,
No,0,00:39:04.589,00:39:17.150,
No,0,00:39:17.560,00:39:21.029,
No,0,00:39:21.439,00:39:25.617,
No,0,00:39:26.027,00:39:31.122,
No,0,00:39:31.532,00:39:33.917,
No,0,00:39:34.327,00:39:36.252,
No,0,00:39:36.662,00:40:05.698,
No,0,00:40:06.108,00:40:16.209,
No,0,00:40:16.619,00:40:19.254,
No,0,00:40:19.664,00:40:22.924,
No,0,00:40:23.334,00:40:37.105,
No,0,00:40:37.515,00:41:24.861,
No,0,00:41:25.271,00:41:31.159,
No,0,00:41:31.569,00:42:17.747,
No,0,00:42:18.157,00:42:26.798,
No,0,00:42:27.208,00:42:31.636,
No,0,00:42:32.046,00:42:34.138,
No,0,00:42:34.548,00:42:43.314,
No,0,00:42:43.724,00:43:51.299,
No,0,00:43:51.709,00:44:08.900,
No,0,00:44:09.310,00:44:16.366,
No,0,00:44:16.776,00:44:26.793,
No,0,00:44:27.203,00:44:31.756,
No,0,00:44:32.166,00:44:35.760,
No,0,00:44:36.170,00:44:39.347,
No,0,00:44:39.757,00:44:44.102,
No,0,00:44:44.512,00:44:54.404,
No,0,00:44:54.814,00:44:58.282,
No,0,00:44:58.692,00:45:02.453,
No,0,00:45:02.863,00:45:06.708,
No,0,00:45:07.118,00:45:13.131,
No,0,00:45:13.541,00:45:17.176,
No,0,00:45:17.586,00:45:20.012,
No,0,00:45:20.422,00:45:28.646,
No,0,00:45:29.056,00:45:42.577,
No,0,00:45:42.987,00:45:54.338,
No,0,00:45:54.748,00:45:57.133,
No,0,00:45:57.543,00:46:00.636,
No,0,00:46:01.046,00:46:08.186,
No,0,00:46:08.596,00:46:08.895,
No,0,00:46:09.305,00:46:10.730,
No,0,00:46:11.140,00:46:14.567,
No,0,00:46:14.977,00:46:17.445,
No,0,00:46:17.855,00:47:27.139,
No,0,00:47:27.549,00:47:30.685,
No,0,00:47:31.095,00:47:59.505,
No,0,00:47:59.915,00:48:02.675,
No,0,00:48:03.085,00:48:06.596,
No,0,00:48:07.006,00:48:23.779,
No,0,00:48:24.189,00:48:33.372,
No,0,00:48:33.782,00:48:37.043,
No,0,00:48:37.453,00:48:38.836,
No,0,00:48:39.246,00:49:29.512,
No,0,00:49:29.922,00:49:33.766,
No,0,00:49:34.176,00:50:02.169,
