Ignore,Scene,Start,End,Caption
No,0,00:00:00.205,00:03:15.866,
No,0,00:03:16.276,00:03:18.493,
No,0,00:03:18.903,00:03:20.162,
No,0,00:03:20.572,00:03:21.788,
No,0,00:03:22.198,00:03:24.958,
No,0,00:03:25.368,00:03:30.088,
No,0,00:03:30.498,00:03:34.760,
No,0,00:03:35.170,00:03:40.349,
No,0,00:03:40.759,00:03:43.018,
No,0,00:03:43.428,00:03:50.651,
No,0,00:03:51.061,00:03:53.111,
No,0,00:03:53.521,00:03:56.531,
No,0,00:03:56.941,00:03:58.325,
No,0,00:03:58.735,00:04:00.911,
No,0,00:04:01.321,00:04:04.873,
No,0,00:04:05.283,00:04:05.666,
No,0,00:04:06.076,00:04:06.917,
No,0,00:04:07.327,00:04:08.585,
No,0,00:04:08.995,00:04:10.379,
No,0,00:04:10.789,00:04:14.174,
No,0,00:04:14.584,00:04:15.676,
No,0,00:04:16.086,00:04:22.349,
No,0,00:04:22.759,00:04:23.892,
No,0,00:04:24.302,00:04:25.602,
No,0,00:04:26.012,00:04:28.605,
No,0,00:04:29.015,00:04:30.190,
No,0,00:04:30.600,00:04:33.944,
No,0,00:04:34.354,00:04:36.697,
No,0,00:04:37.107,00:04:40.993,
No,0,00:04:41.403,00:04:43.537,
No,0,00:04:43.947,00:04:44.663,
No,0,00:04:45.073,00:04:46.331,
No,0,00:04:46.741,00:04:49.584,
No,0,00:04:49.994,00:04:51.211,
No,0,00:04:51.621,00:04:52.212,
No,0,00:04:52.622,00:04:55.966,
No,0,00:04:56.376,00:04:57.217,
No,0,00:04:57.627,00:05:01.013,
No,0,00:05:01.423,00:05:02.055,
No,0,00:05:02.465,00:05:02.806,
No,0,00:05:03.216,00:05:03.682,
No,0,00:05:04.092,00:05:06.643,
No,0,00:05:07.053,00:05:16.361,
No,0,00:05:16.771,00:05:19.948,
No,0,00:05:20.358,00:05:22.409,
No,0,00:05:22.819,00:05:24.077,
No,0,00:05:24.487,00:05:29.958,
No,0,00:05:30.368,00:05:34.087,
No,0,00:05:34.497,00:05:37.591,
No,0,00:05:38.001,00:05:38.258,
No,0,00:05:38.668,00:05:39.760,
No,0,00:05:40.170,00:05:40.719,
No,0,00:05:41.129,00:05:41.803,
No,0,00:05:42.213,00:05:45.640,
No,0,00:05:46.050,00:05:48.143,
No,0,00:05:48.553,00:05:49.728,
No,0,00:05:50.138,00:05:52.064,
No,0,00:05:52.474,00:05:56.902,
No,0,00:05:57.312,00:05:59.446,
No,0,00:05:59.856,00:06:04.159,
No,0,00:06:04.569,00:06:07.579,
No,0,00:06:07.989,00:06:09.748,
No,0,00:06:10.158,00:06:12.250,
No,0,00:06:12.660,00:06:20.634,
No,0,00:06:21.044,00:06:22.636,
No,0,00:06:23.046,00:06:27.682,
No,0,00:06:28.092,00:06:28.475,
No,0,00:06:28.885,00:06:33.939,
No,0,00:06:34.349,00:06:35.774,
No,0,00:06:36.184,00:06:42.280,
No,0,00:06:42.690,00:06:45.450,
No,0,00:06:45.860,00:06:52.499,
No,0,00:06:52.909,00:06:54.292,
No,0,00:06:54.702,00:06:59.548,
No,0,00:06:59.958,00:07:03.677,
No,0,00:07:04.087,00:07:05.178,
No,0,00:07:05.588,00:07:08.014,
No,0,00:07:08.424,00:07:10.725,
No,0,00:07:11.135,00:07:16.189,
No,0,00:07:16.599,00:07:19.151,
No,0,00:07:19.561,00:07:25.574,
