Ignore,Scene,Start,End,Caption
Yes,0,00:00:00.275,00:01:15.801,
No,0,00:01:16.351,00:01:25.255,
Yes,0,00:01:25.805,00:01:31.261,
No,0,00:01:31.811,00:01:37.545,
No,0,00:01:38.095,00:01:38.713,
Yes,0,00:01:39.263,00:01:43.940,
No,0,00:01:44.490,00:01:46.776,
No,0,00:01:47.326,00:01:47.889,
Yes,0,00:01:48.439,00:01:53.895,
No,0,00:01:54.445,00:01:55.897,
Yes,0,00:01:56.447,00:02:02.792,
No,0,00:02:03.342,00:02:04.850,
No,0,00:02:05.400,00:02:06.963,
No,0,00:02:07.513,00:02:10.856,
No,0,00:02:11.406,00:02:16.083,
No,0,00:02:16.633,00:02:20.866,
No,0,00:02:21.416,00:02:29.429,
No,0,00:02:29.979,00:02:31.543,
No,0,00:02:32.093,00:02:42.221,
No,0,00:02:42.771,00:02:46.892,
No,0,00:02:47.442,00:03:00.183,
No,0,00:03:00.733,00:03:02.741,
No,0,00:03:03.291,00:03:04.131,
No,0,00:03:04.681,00:03:05.689,
No,0,00:03:06.239,00:03:06.578,
No,0,00:03:07.128,00:03:14.698,
No,0,00:03:15.248,00:03:22.205,
No,0,00:03:22.755,00:03:28.100,
No,0,00:03:28.650,00:03:29.601,
No,0,00:03:30.151,00:03:34.050,
No,0,00:03:34.600,00:03:45.395,
No,0,00:03:45.945,00:04:45.121,
No,0,00:04:45.671,00:04:59.246,
No,0,00:04:59.796,00:05:19.155,
No,0,00:05:19.705,00:05:24.994,
No,0,00:05:25.544,00:05:29.777,
No,0,00:05:30.327,00:05:41.288,
No,0,00:05:41.838,00:05:51.855,
No,0,00:05:52.405,00:06:40.625,
No,0,00:06:41.175,00:06:49.356,
No,0,00:06:49.906,00:06:53.694,
No,0,00:06:54.244,00:06:55.307,
No,0,00:06:55.857,00:07:10.655,
No,0,00:07:11.205,00:07:13.770,
No,0,00:07:14.320,00:07:17.718,
No,0,00:07:18.268,00:07:22.946,
No,0,00:07:23.496,00:07:28.952,
No,0,00:07:29.502,00:07:30.286,
No,0,00:07:30.836,00:07:32.009,
No,0,00:07:32.559,00:07:46.970,
No,0,00:07:47.520,00:07:49.806,
No,0,00:07:50.356,00:07:55.867,
No,0,00:07:56.417,00:07:58.481,
No,0,00:07:59.031,00:08:00.594,
No,0,00:08:01.144,00:08:01.818,
No,0,00:08:02.368,00:08:06.823,
No,0,00:08:07.373,00:08:24.507,
No,0,00:08:25.057,00:08:30.791,
No,0,00:08:31.341,00:08:33.572,
No,0,00:08:34.122,00:08:40.134,
No,0,00:08:40.684,00:08:51.089,
No,0,00:08:51.639,00:09:00.487,
No,0,00:09:01.037,00:09:04.658,
No,0,00:09:05.208,00:09:10.775,
No,0,00:09:11.325,00:09:11.943,
No,0,00:09:12.493,00:09:15.002,
No,0,00:09:15.552,00:09:18.672,
No,0,00:09:19.222,00:09:20.952,
No,0,00:09:21.502,00:09:26.402,
No,0,00:09:26.952,00:09:32.130,
No,0,00:09:32.680,00:09:46.923,
No,0,00:09:47.473,00:09:48.591,
No,0,00:09:49.141,00:09:51.983,
No,0,00:09:52.533,00:09:54.486,
No,0,00:09:55.036,00:10:03.662,
No,0,00:10:04.212,00:10:09.890,
No,0,00:10:10.440,00:10:15.118,
No,0,00:10:15.668,00:10:18.065,
No,0,00:10:18.615,00:10:23.014,
No,0,00:10:23.564,00:10:27.519,
No,0,00:10:28.069,00:10:48.095,
No,0,00:10:48.645,00:10:54.879,
No,0,00:10:55.429,00:10:56.881,
No,0,00:10:57.431,00:11:02.165,
No,0,00:11:02.715,00:11:15.734,
No,0,00:11:16.284,00:11:43.928,
No,0,00:11:44.478,00:11:57.664,
No,0,00:11:58.214,00:12:01.557,
No,0,00:12:02.107,00:12:09.732,
No,0,00:12:10.282,00:12:11.567,
No,0,00:12:12.117,00:12:15.682,
No,0,00:12:16.232,00:12:17.962,
No,0,00:12:18.512,00:12:24.080,
No,0,00:12:24.630,00:12:25.692,
No,0,00:12:26.242,00:12:29.696,
No,0,00:12:30.246,00:12:41.542,
No,0,00:12:42.092,00:12:44.155,
No,0,00:12:44.705,00:12:45.156,
No,0,00:12:45.706,00:12:47.492,
No,0,00:12:48.042,00:12:54.110,
No,0,00:12:54.660,00:12:57.224,
No,0,00:12:57.774,00:13:02.674,
No,0,00:13:03.224,00:13:06.177,
No,0,00:13:06.727,00:13:16.966,
No,0,00:13:17.516,00:13:18.745,
No,0,00:13:19.295,00:13:41.101,
No,0,00:13:41.651,00:13:42.992,
No,0,00:13:43.542,00:13:49.888,
No,0,00:13:50.438,00:13:51.222,
No,0,00:13:51.772,00:14:02.289,
No,0,00:14:02.839,00:14:03.457,
No,0,00:14:04.007,00:14:05.125,
No,0,00:14:05.675,00:14:13.189,
No,0,00:14:13.739,00:14:43.497,
No,0,00:14:44.047,00:14:47.445,
No,0,00:14:47.995,00:14:49.670,
No,0,00:14:50.220,00:14:51.449,
No,0,00:14:51.999,00:14:58.067,
No,0,00:14:58.617,00:15:04.129,
No,0,00:15:04.679,00:15:24.649,
No,0,00:15:25.199,00:15:29.543,
No,0,00:15:30.093,00:16:11.084,
No,0,00:16:11.634,00:16:18.258,
No,0,00:16:18.808,00:16:20.538,
No,0,00:16:21.088,00:16:25.710,
No,0,00:16:26.260,00:16:39.668,
No,0,00:16:40.218,00:16:42.115,
No,0,00:16:42.665,00:16:45.730,
No,0,00:16:46.280,00:16:46.787,
No,0,00:16:47.337,00:17:14.926,
No,0,00:17:15.476,00:18:06.867,
No,0,00:18:07.417,00:18:21.492,
No,0,00:18:22.042,00:18:27.554,
No,0,00:18:28.104,00:18:47.240,
No,0,00:18:47.790,00:18:49.187,
No,0,00:18:49.737,00:18:51.689,
No,0,00:18:52.239,00:18:52.913,
No,0,00:18:53.463,00:18:56.360,
No,0,00:18:56.910,00:19:23.443,
No,0,00:19:23.993,00:19:25.278,
No,0,00:19:25.828,00:19:50.915,
No,0,00:19:51.465,00:20:08.210,
No,0,00:20:08.760,00:20:09.656,
No,0,00:20:10.206,00:20:26.562,
No,0,00:20:27.112,00:20:53.422,
No,0,00:20:53.972,00:20:54.923,
No,0,00:20:55.473,00:20:56.480,
No,0,00:20:57.030,00:20:58.260,
No,0,00:20:58.810,00:21:24.564,
No,0,00:21:25.114,00:21:25.788,
No,0,00:21:26.338,00:21:27.734,
No,0,00:21:28.284,00:21:31.349,
No,0,00:21:31.899,00:21:34.296,
No,0,00:21:34.846,00:21:53.871,
No,0,00:21:54.421,00:21:54.817,
No,0,00:21:55.367,00:21:58.598,
No,0,00:21:59.148,00:22:46.590,
No,0,00:22:47.140,00:22:53.597,
No,0,00:22:54.147,00:22:57.546,
No,0,00:22:58.096,00:22:59.993,
No,0,00:23:00.543,00:23:03.997,
No,0,00:23:04.547,00:23:05.665,
No,0,00:23:06.215,00:23:09.169,
No,0,00:23:09.719,00:23:11.282,
No,0,00:23:11.832,00:23:13.173,
No,0,00:23:13.723,00:23:14.730,
No,0,00:23:15.280,00:23:19.512,
No,0,00:23:20.062,00:23:22.626,
No,0,00:23:23.176,00:23:24.851,
No,0,00:23:25.401,00:23:27.910,
No,0,00:23:28.460,00:23:29.856,
No,0,00:23:30.406,00:23:31.580,
No,0,00:23:32.130,00:23:38.420,
No,0,00:23:38.970,00:24:39.648,
No,0,00:24:40.198,00:24:55.775,
No,0,00:24:56.325,00:25:02.727,
No,0,00:25:03.277,00:25:04.562,
No,0,00:25:05.112,00:25:12.069,
No,0,00:25:12.619,00:25:16.852,
No,0,00:25:17.402,00:25:23.025,
No,0,00:25:23.575,00:25:35.203,
No,0,00:25:35.753,00:25:36.983,
No,0,00:25:37.533,00:25:43.045,
No,0,00:25:43.595,00:25:45.213,
No,0,00:25:45.763,00:25:46.826,
No,0,00:25:47.376,00:25:49.718,
No,0,00:25:50.268,00:25:55.279,
No,0,00:25:55.829,00:26:00.062,
No,0,00:26:00.612,00:26:03.787,
No,0,00:26:04.337,00:26:17.301,
No,0,00:26:17.851,00:26:33.984,
No,0,00:26:34.534,00:27:01.845,
No,0,00:27:02.395,00:27:06.572,
No,0,00:27:07.122,00:27:37.548,
