Ignore,Scene,Start,End,Shot_Caption,Scene_Caption
Yes,0,00:00:00.205,00:00:24.528,,
Yes,0,00:00:24.938,00:00:32.036,,
Yes,0,00:00:32.446,00:00:56.060,,
Yes,0,00:00:56.470,00:01:22.086,,
Yes,0,00:01:22.496,00:02:07.464,,
Yes,0,00:02:07.874,00:02:37.828,,
No,0,00:02:38.238,00:02:53.385,,
No,0,00:02:53.795,00:03:00.809,,
No,0,00:03:01.219,00:03:14.031,,
No,0,00:03:14.441,00:03:25.292,,
No,0,00:03:25.702,00:03:31.965,,
No,0,00:03:32.375,00:03:44.186,,
No,0,00:03:44.596,00:03:58.075,,
No,0,00:03:58.485,00:04:02.454,,
No,0,00:04:02.864,00:04:12.464,,
No,0,00:04:12.874,00:04:15.800,,
No,0,00:04:16.210,00:04:19.555,,
No,0,00:04:19.965,00:04:23.267,,
No,0,00:04:23.677,00:04:32.609,,
No,0,00:04:33.019,00:04:35.737,,
No,0,00:04:36.147,00:04:38.365,,
No,0,00:04:38.775,00:04:41.702,,
No,0,00:04:42.112,00:04:44.663,,
No,0,00:04:45.073,00:04:51.420,,
No,0,00:04:51.830,00:04:56.174,,
No,0,00:04:56.584,00:04:59.511,,
No,0,00:04:59.921,00:05:18.613,,
No,0,00:05:19.023,00:05:24.161,,
No,0,00:05:24.571,00:05:31.543,,
No,0,00:05:31.953,00:05:39.718,,
No,0,00:05:40.128,00:05:41.762,,
No,0,00:05:42.172,00:05:47.309,,
No,0,00:05:47.719,00:05:52.439,,
No,0,00:05:52.849,00:05:58.320,,
No,0,00:05:58.730,00:06:01.365,,
No,0,00:06:01.775,00:06:03.700,,
No,0,00:06:04.110,00:06:09.706,,
No,0,00:06:10.116,00:06:13.502,,
No,0,00:06:13.912,00:06:17.464,,
No,0,00:06:17.874,00:06:20.801,,
No,0,00:06:21.211,00:06:26.765,,
No,0,00:06:27.175,00:06:37.150,,
No,0,00:06:37.560,00:06:39.861,,
No,0,00:06:40.271,00:06:46.910,,
No,0,00:06:47.320,00:06:49.121,,
No,0,00:06:49.531,00:06:53.208,,
No,0,00:06:53.618,00:06:58.505,,
No,0,00:06:58.915,00:06:59.923,,
No,0,00:07:00.333,00:07:02.926,,
No,0,00:07:03.336,00:07:07.389,,
No,0,00:07:07.799,00:07:10.267,,
No,0,00:07:10.677,00:07:21.069,,
No,0,00:07:21.479,00:07:30.454,,
No,0,00:07:30.864,00:07:33.498,,
No,0,00:07:33.908,00:07:34.833,,
No,0,00:07:35.243,00:07:36.209,,
No,0,00:07:36.619,00:07:43.508,,
No,0,00:07:43.918,00:07:47.846,,
No,0,00:07:48.256,00:07:51.308,,
No,0,00:07:51.718,00:08:02.152,,
No,0,00:08:02.562,00:08:05.238,,
No,0,00:08:05.648,00:08:07.032,,
No,0,00:08:07.442,00:08:14.831,,
No,0,00:08:15.241,00:08:17.417,,
No,0,00:08:17.827,00:08:39.022,,
No,0,00:08:39.432,00:08:50.534,,
No,0,00:08:50.944,00:08:53.161,,
No,0,00:08:53.571,00:08:56.623,,
No,0,00:08:57.033,00:09:02.671,,
No,0,00:09:03.081,00:09:11.221,,
No,0,00:09:11.631,00:09:17.811,,
No,0,00:09:18.221,00:09:49.217,,
No,0,00:09:49.627,00:09:52.304,,
No,0,00:09:52.714,00:09:54.347,,
No,0,00:09:54.757,00:09:59.102,,
No,0,00:09:59.512,00:10:03.607,,
No,0,00:10:04.017,00:10:07.861,,
No,0,00:10:08.271,00:10:09.946,,
No,0,00:10:10.356,00:10:12.157,,
No,0,00:10:12.567,00:10:17.078,,
No,0,00:10:17.488,00:10:28.298,,
No,0,00:10:28.708,00:10:37.766,,
No,0,00:10:38.176,00:10:40.852,,
No,0,00:10:41.262,00:10:49.027,,
No,0,00:10:49.437,00:10:56.159,,
No,0,00:10:56.569,00:10:59.913,,
No,0,00:11:00.323,00:11:10.006,,
No,0,00:11:10.416,00:11:14.135,,
No,0,00:11:14.545,00:11:19.808,,
No,0,00:11:20.218,00:11:23.103,,
No,0,00:11:23.513,00:11:25.271,,
No,0,00:11:25.681,00:11:27.691,,
No,0,00:11:28.101,00:11:31.152,,
No,0,00:11:31.562,00:11:41.538,,
No,0,00:11:41.948,00:11:46.751,,
No,0,00:11:47.161,00:11:50.171,,
No,0,00:11:50.581,00:11:53.883,,
No,0,00:11:54.293,00:11:55.510,,
No,0,00:11:55.920,00:11:59.848,,
No,0,00:12:00.258,00:12:01.891,,
No,0,00:12:02.301,00:12:05.854,,
No,0,00:12:06.264,00:12:30.170,,
No,0,00:12:30.580,00:12:40.388,,
No,0,00:12:40.798,00:12:47.979,,
No,0,00:12:48.389,00:13:09.250,,
No,0,00:13:09.660,00:13:17.217,,
No,0,00:13:17.627,00:13:23.223,,
No,0,00:13:23.633,00:13:24.474,,
No,0,00:13:24.884,00:13:26.851,,
No,0,00:13:27.261,00:13:28.311,,
No,0,00:13:28.721,00:13:33.358,,
No,0,00:13:33.768,00:13:34.692,,
No,0,00:13:35.102,00:13:36.027,,
No,0,00:13:36.437,00:13:37.320,,
No,0,00:13:37.730,00:13:44.536,,
No,0,00:13:44.946,00:13:55.380,,
No,0,00:13:55.790,00:13:58.174,,
No,0,00:13:58.584,00:13:58.800,,
No,0,00:13:59.210,00:14:02.053,,
No,0,00:14:02.463,00:14:05.098,,
No,0,00:14:05.508,00:14:06.724,,
No,0,00:14:07.134,00:14:08.601,,
No,0,00:14:09.011,00:14:09.978,,
No,0,00:14:10.388,00:14:18.528,,
No,0,00:14:18.938,00:14:23.032,,
No,0,00:14:23.442,00:14:29.622,,
No,0,00:14:30.032,00:14:32.917,,
No,0,00:14:33.327,00:14:34.835,,
No,0,00:14:35.245,00:14:37.797,,
No,0,00:14:38.207,00:14:39.591,,
No,0,00:14:40.001,00:14:52.186,,
No,0,00:14:52.596,00:14:57.233,,
No,0,00:14:57.643,00:14:58.234,,
No,0,00:14:58.644,00:15:02.530,,
No,0,00:15:02.940,00:15:07.160,,
No,0,00:15:07.570,00:15:09.287,,
No,0,00:15:09.697,00:15:12.457,,
No,0,00:15:12.867,00:15:13.333,,
No,0,00:15:13.743,00:15:14.500,,
No,0,00:15:14.910,00:15:20.798,,
No,0,00:15:21.208,00:15:28.681,,
No,0,00:15:29.091,00:15:30.934,,
No,0,00:15:31.344,00:15:32.936,,
No,0,00:15:33.346,00:15:36.981,,
No,0,00:15:37.391,00:15:44.614,,
No,0,00:15:45.024,00:15:47.992,,
No,0,00:15:48.402,00:15:50.536,,
No,0,00:15:50.946,00:15:53.873,,
No,0,00:15:54.283,00:15:55.625,,
No,0,00:15:56.035,00:15:57.335,,
No,0,00:15:57.745,00:16:30.410,,
No,0,00:16:30.820,00:16:33.037,,
No,0,00:16:33.447,00:16:45.842,,
No,0,00:16:46.252,00:16:47.844,,
No,0,00:16:48.254,00:16:51.889,,
No,0,00:16:52.299,00:16:56.394,,
No,0,00:16:56.804,00:16:59.731,,
No,0,00:17:00.141,00:17:12.076,,
No,0,00:17:12.486,00:17:21.502,,
No,0,00:17:21.912,00:17:25.590,,
No,0,00:17:26.000,00:17:30.094,,
No,0,00:17:30.504,00:17:34.599,,
No,0,00:17:35.009,00:17:40.813,,
No,0,00:17:41.223,00:17:42.982,,
No,0,00:17:43.392,00:17:46.319,,
No,0,00:17:46.729,00:17:48.321,,
No,0,00:17:48.731,00:17:56.871,,
No,0,00:17:57.281,00:18:00.833,,
No,0,00:18:01.243,00:18:03.711,,
No,0,00:18:04.121,00:18:17.225,,
No,0,00:18:17.635,00:18:39.539,,
No,0,00:18:39.949,00:18:42.458,,
No,0,00:18:42.868,00:18:57.890,,
No,0,00:18:58.300,00:18:59.559,,
No,0,00:18:59.969,00:19:01.227,,
No,0,00:19:01.637,00:19:04.230,,
No,0,00:19:04.640,00:19:13.698,,
No,0,00:19:14.108,00:19:15.533,,
No,0,00:19:15.943,00:19:35.845,,
No,0,00:19:36.255,00:19:43.936,,
No,0,00:19:44.346,00:19:45.688,,
No,0,00:19:46.098,00:19:48.524,,
No,0,00:19:48.934,00:19:54.322,,
No,0,00:19:54.732,00:20:02.580,,
No,0,00:20:02.990,00:20:04.498,,
No,0,00:20:04.908,00:20:20.890,,
No,0,00:20:21.300,00:20:23.476,,
No,0,00:20:23.886,00:20:24.644,,
No,0,00:20:25.054,00:20:32.235,,
No,0,00:20:32.645,00:20:40.284,,
No,0,00:20:40.694,00:20:42.536,,
No,0,00:20:42.946,00:20:46.707,,
No,0,00:20:47.117,00:20:48.918,,
No,0,00:20:49.328,00:20:50.461,,
No,0,00:20:50.871,00:21:03.182,,
No,0,00:21:03.592,00:21:10.481,,
No,0,00:21:10.891,00:21:12.608,,
No,0,00:21:13.018,00:21:15.528,,
No,0,00:21:15.938,00:21:19.991,,
No,0,00:21:20.401,00:21:43.931,,
No,0,00:21:44.341,00:21:45.599,,
No,0,00:21:46.009,00:21:47.852,,
No,0,00:21:48.262,00:21:50.271,,
No,0,00:21:50.681,00:22:02.408,,
No,0,00:22:02.818,00:22:34.398,,
No,0,00:22:34.808,00:23:39.296,,
No,0,00:23:39.706,00:23:43.968,,
No,0,00:23:44.378,00:24:08.117,,
No,0,00:24:08.527,00:24:09.702,,
No,0,00:24:10.112,00:24:12.246,,
No,0,00:24:12.656,00:24:14.748,,
No,0,00:24:15.158,00:24:23.883,,
No,0,00:24:24.293,00:24:26.552,,
No,0,00:24:26.962,00:24:29.472,,
No,0,00:24:29.882,00:24:31.724,,
No,0,00:24:32.134,00:24:34.185,,
No,0,00:24:34.595,00:24:37.229,,
No,0,00:24:37.639,00:24:45.070,,
No,0,00:24:45.480,00:24:49.950,,
No,0,00:24:50.360,00:24:56.916,,
No,0,00:24:57.326,00:25:00.044,,
No,0,00:25:00.454,00:25:15.976,,
No,0,00:25:16.386,00:25:26.695,,
No,0,00:25:27.105,00:25:30.074,,
No,0,00:25:30.484,00:25:31.492,,
No,0,00:25:31.902,00:25:34.870,,
No,0,00:25:35.280,00:25:36.872,,
No,0,00:25:37.282,00:25:38.499,,
No,0,00:25:38.909,00:25:40.793,,
No,0,00:25:41.203,00:25:42.753,,
No,0,00:25:43.163,00:25:46.507,,
No,0,00:25:46.917,00:25:48.217,,
No,0,00:25:48.627,00:25:50.636,,
No,0,00:25:51.046,00:25:52.304,,
No,0,00:25:52.714,00:25:54.974,,
No,0,00:25:55.384,00:25:57.810,,
No,0,00:25:58.220,00:25:59.853,,
No,0,00:26:00.263,00:26:01.772,,
No,0,00:26:02.182,00:26:04.567,,
No,0,00:26:04.977,00:26:10.614,,
No,0,00:26:11.024,00:26:22.459,,
No,0,00:26:22.869,00:26:30.467,,
No,0,00:26:30.877,00:26:41.937,,
No,0,00:26:42.347,00:26:43.647,,
No,0,00:26:44.057,00:26:45.399,,
No,0,00:26:45.809,00:26:50.237,,
No,0,00:26:50.647,00:26:58.037,,
No,0,00:26:58.447,00:27:18.098,,
No,0,00:27:18.508,00:27:18.766,,
No,0,00:27:19.176,00:27:24.229,,
No,0,00:27:24.639,00:27:28.192,,
No,0,00:27:28.602,00:27:29.943,,
No,0,00:27:30.353,00:27:34.698,,
No,0,00:27:35.108,00:27:36.617,,
No,0,00:27:37.027,00:27:40.245,,
No,0,00:27:40.655,00:28:18.367,,
No,0,00:28:18.777,00:28:23.997,,
No,0,00:28:24.407,00:28:26.500,,
No,0,00:28:26.910,00:28:28.502,,
No,0,00:28:28.912,00:28:31.046,,
No,0,00:28:31.456,00:28:33.674,,
No,0,00:28:34.084,00:28:49.732,,
No,0,00:28:50.142,00:29:05.205,,
No,0,00:29:05.615,00:29:08.751,,
No,0,00:29:09.161,00:29:11.754,,
No,0,00:29:12.164,00:29:14.339,,
No,0,00:29:14.749,00:29:16.550,,
No,0,00:29:16.960,00:29:32.024,,
No,0,00:29:32.434,00:29:48.749,,
No,0,00:29:49.159,00:29:53.128,,
No,0,00:29:53.538,00:29:58.634,,
No,0,00:29:59.044,00:30:03.680,,
No,0,00:30:04.090,00:30:19.530,,
No,0,00:30:19.940,00:30:38.590,,
No,0,00:30:39.000,00:30:51.770,,
No,0,00:30:52.180,00:30:57.109,,
No,0,00:30:57.519,00:31:04.741,,
No,0,00:31:05.151,00:31:08.537,,
No,0,00:31:08.947,00:31:10.330,,
No,0,00:31:10.740,00:31:35.772,,
No,0,00:31:36.182,00:31:37.566,,
No,0,00:31:37.976,00:31:50.537,,
No,0,00:31:50.947,00:31:55.500,,
No,0,00:31:55.910,00:32:26.865,,
No,0,00:32:27.275,00:32:31.161,,
No,0,00:32:31.571,00:32:37.709,,
No,0,00:32:38.119,00:32:47.844,,
No,0,00:32:48.254,00:32:53.725,,
No,0,00:32:54.135,00:32:57.396,,
No,0,00:32:57.806,00:33:01.400,,
No,0,00:33:01.810,00:33:06.488,,
